2021/05/26 16:57:06 webserver.go:20: Defauting to port 
2021/05/26 16:57:06 webserver.go:23: Linstening on port 
2021/05/26 16:57:30 webserver.go:20: Defauting to port 8080
2021/05/26 16:57:30 webserver.go:23: Linstening on port 8080
2021/05/26 16:58:50 webserver.go:20: Defauting to port 8080
2021/05/26 16:58:50 webserver.go:23: Linstening on port 8080
2021/05/26 17:01:26 webserver.go:20: Defauting to port 8080
2021/05/26 17:01:26 webserver.go:23: Linstening on port 8080
2021/05/26 17:02:34 webserver.go:20: Defauting to port 8080
2021/05/26 17:02:34 webserver.go:23: Linstening on port 8080
2021/05/26 17:04:27 webserver.go:20: Defauting to port 8080
2021/05/26 17:04:27 webserver.go:23: Linstening on port 8080
2021/05/26 17:08:00 webserver.go:20: Defauting to port 8080
2021/05/26 17:08:00 webserver.go:23: Linstening on port 8080
2021/05/26 17:11:21 webserver.go:20: Defauting to port 8080
2021/05/26 17:11:21 webserver.go:23: Linstening on port 8080
2021/05/26 17:12:13 webserver.go:20: Defauting to port 8080
2021/05/26 17:12:13 webserver.go:23: Linstening on port 8080
2021/05/26 17:14:58 webserver.go:20: Defauting to port 8080
2021/05/26 17:14:58 webserver.go:23: Linstening on port 8080
2021/05/26 17:17:21 webserver.go:20: Defauting to port 8080
2021/05/26 17:17:21 webserver.go:23: Linstening on port 8080
2021/05/26 17:21:14 webserver.go:20: Defauting to port 8080
2021/05/26 17:21:14 webserver.go:23: Linstening on port 8080
